co_quan,ky_hieu,loai_hinh,loai_truong,ten_tienganh,ten_truong,tinh,website
Bộ Giáo dục và Đào tạo,STS,Trường đại học,Công lập,Ho Chi Minh City University of Physical Education and Sports,TRƯỜNG ĐẠI HỌC SƯ PHẠM THỂ DỤC THỂ THAO TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://upes.edu.vn/
Bộ Tài chính,DKQ,Trường đại học,Công lập,University of Finance – Accounting,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - KẾ TOÁN,Quảng Ngãi,http://tckt.edu.vn/
Bộ Giáo dục và Đào tạo,DTS,Trường đại học,Công lập,University of Education - Thai Nguyen University,"TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC THÁI NGUYÊN",Thái Nguyên,http://tnue.edu.vn/
Bộ Giáo dục và Đào tạo,DDS,Trường đại học,Công lập,University of Science and Education - The University of Da Nang,"TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC ĐÀ NẴNG",Đà Nẵng,https://ued.udn.vn/
Bộ Giáo dục và Đào tạo,DHS,Trường đại học,Công lập,"University of Education, Hue University","TRƯỜNG ĐẠI HỌC SƯ PHẠM, ĐẠI HỌC HUẾ",Thừa Thiên Huế,http://www.dhsphue.edu.vn/
Bộ Giáo dục và Đào tạo,SPS,Trường đại học,Công lập,Ho Chi Minh City University of Education,TRƯỜNG ĐẠI HỌC SƯ PHẠM TP. HỒ CHÍ MINH,TP. Hồ Chí Minh,https://hcmue.edu.vn/
Bộ Giáo dục và Đào tạo,DQT,Trường đại học,Tư thục,Quang Trung University,TRƯỜNG ĐẠI HỌC QUANG TRUNG,Bình Định,https://qtu.edu.vn
Bộ Tài nguyên và Môi trường,DMT,Trường đại học,Công lập,Hanoi University of Natural Resource and Environment,TRƯỜNG ĐẠI HỌC TÀI NGUYÊN VÀ MÔI TRƯỜNG HÀ NỘI,Hà Nội,https://www.hunre.edu.vn/
Bộ Giáo dục và Đào tạo,FBU,Trường đại học,Tư thục,Hanoi Financial and Banking University,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - NGÂN HÀNG HÀ NỘI,Hà Nội,https://fbu.edu.vn/
Bộ Tài chính,DMS,Trường đại học,Công lập,University of Finance – Marketing,TRƯỜNG ĐẠI HỌC TÀI CHÍNH - MARKETING,TP. Hồ Chí Minh,https://ufm.edu.vn/
